"","amphibian_eggs_and_larvae","annelids","ants","beetles","bird_eggs","birds","bugs","caecilians","centipedes","cockroaches","crocs","decapods","fish_eggs","fishes","frogs","insect_larvae_pupae_and_eggs","lizards","mammals","misc_invertebrates","misc_vertebrates","mollusks","non_ant_hymenopterans","orthopterans","plants","reptile_eggs","salamanders","scorpions","snakes","spiders","termites","turtles"
"Nucras_lalandii",0.00173676079847188,0.00190400092766045,0.0233195131109968,0.189042596754375,0.00173676079847188,0.0017919288618145,0.0526092371975594,0.001738473127239,0.00694027751813458,0.00279823992953247,0.00173676079847188,0.00668497405420005,0.00173676079847188,0.00173843584034793,0.00173676079847188,0.041839961074606,0.00557054965312116,0.00190226498849973,0.0749307734675486,0.00335849163873701,0.00471701845836477,0.0340232443933731,0.461972453817304,0.00878622829962324,0.00386211231839427,0.00178854259516705,0.0111827211192395,0.0017684781951567,0.0424185868700252,0.00289033099814539,0.00173676079847188
"Nucras_intertexta",0.00180407045021757,0.00197479713850876,0.0233710934093933,0.157533105963976,0.00180407045021757,0.00180573157978568,0.0365634210425205,0.00180576536547181,0.0586045000117618,0.0765779846572625,0.00180407045021757,0.00180737223737971,0.00180407045021757,0.00180586256491291,0.00184445272477859,0.103164030094944,0.00199942424830604,0.00180665442954574,0.133144892443513,0.0086852944642866,0.0110322165253168,0.00798594622411485,0.0989792066723107,0.0143731863214977,0.0027068814842516,0.00185717939592891,0.022005841601167,0.00181374091995963,0.104070018531824,0.113661047696193,0.00180407045021757
"Nucras_ornata",0.00186871587838172,0.00333126364884589,0.0128719324918222,0.0783749453094037,0.00186871587838172,0.00186871587838172,0.0244231937131313,0.00186871587838172,0.0462687766251992,0.061307468003186,0.00186871587838172,0.00187101472895643,0.00186871587838172,0.00186871587838172,0.00187117893256891,0.0542015535606501,0.00425252102755454,0.00187327224429766,0.0636070018842532,0.011315426713104,0.00208962989972154,0.0135127598341808,0.31076216236255,0.00755504036721517,0.0184553650198897,0.0027155921185016,0.0197378050560587,0.0018937192493683,0.172538766297179,0.0702198838853086,0.00186871587838172
"Nucras_holubi",0.00066297356764105,0.00066297356764105,0.0143610537909443,0.168587174272636,0.00066297356764105,0.00066297356764105,0.0206575334818515,0.000665337633834904,0.00273833495952902,0.0465544899294615,0.00066297356764105,0.00066297356764105,0.00066297356764105,0.00066297356764105,0.00066297356764105,0.137180230898949,0.0227841411440633,0.00066297356764105,0.0874938309181469,0.0075444222352719,0.000727709253276375,0.00702778823570217,0.118208651648511,0.00152519883899408,0.000668557615687022,0.000664721819389302,0.0143527957383876,0.000666030500110332,0.0362400587279001,0.304059229113303,0.00066297356764105
"Algyroides_nigropunctatus",0.00454689778109105,0.0178175768236438,0.00844713972174984,0.169719448149744,0.00452802623314338,0.00459757640378245,0.0259704610907413,0.00455579931278636,0.00505261702609771,0.00453519469192474,0.00452802623314338,0.00453748381933486,0.00452802623314338,0.00453261338910668,0.00495618965958887,0.138630483083702,0.0045410170857383,0.00456779970127209,0.187212656138687,0.00452802623314338,0.0088922881242404,0.0199072435065728,0.0176484043592205,0.0106244788101631,0.00488044998353501,0.00454475652248154,0.00457976846656068,0.00459282577568,0.30270213240802,0.00476656699881644,0.00452802623314338
"Takydromus_sauteri",0.00379547284294895,0.00425804874581103,0.0108968306316287,0.0560893236964554,0.00378510760603318,0.00607304785637968,0.0375823159269656,0.00378699046661266,0.00944631883324471,0.0585856674194715,0.00378229563093191,0.00423762869643727,0.00378229563093191,0.00379260593131854,0.0075627124522248,0.0661103899548681,0.00705200321061376,0.00381459769954159,0.0883187104107997,0.00637917635736677,0.0042117073703494,0.0117364921286395,0.0900003959440073,0.00575027118138659,0.00415698494562707,0.00382178035404294,0.0494165994207349,0.00457982607342887,0.413221837783914,0.0201583542727364,0.00381421052454893
"Lacerta_viridis",0.00170434104075672,0.00170604752539836,0.0235520393891124,0.192042185096302,0.00170434104075672,0.00170434104075672,0.0538788952231913,0.00170605336952384,0.00630465558248947,0.00233204624867515,0.00170434104075672,0.00682130171483676,0.00170434104075672,0.00170601608263276,0.00170434104075672,0.0423947053505853,0.00546959323214629,0.00170434104075672,0.077309012970844,0.00209806317171093,0.00481387248337833,0.0346939623966603,0.45986409010524,0.00906128585461096,0.00341201025060545,0.00174028337921426,0.00999715762999623,0.00173344747138409,0.0415894588918508,0.00213908825355425,0.00170434104075672
"Timon_lepidus",0.0028141514358541,0.00281700857871124,0.0029295539546204,0.658831960714442,0.00281142664021377,0.00562842707891687,0.00288455307294168,0.00281700857871124,0.00281705175042361,0.00281142664021377,0.00281142664021377,0.00281142664021377,0.00281142664021377,0.0028141514358541,0.00281700857871124,0.0056341495046393,0.00281700117437526,0.0028170004387031,0.106730721674696,0.00281142664021377,0.0675275025232359,0.0307134451573858,0.00384966615185553,0.00393657948370102,0.016865575001205,0.00283127805923072,0.00281142664021377,0.00281713278591992,0.0409806079937258,0.00281705175042361,0.00281142664021377
"Podarcis_lilfordi",0.00181303011064733,0.00181573022694398,0.728520964314488,0.0554494122906403,0.00181303011064733,0.00181303011064733,0.0199774760901155,0.00181584140365919,0.00431494151684763,0.00599431326593416,0.00181303011064733,0.00181650233286955,0.00181303011064733,0.00181303011064733,0.00185297192373253,0.0234813063360314,0.00263378530054146,0.00181510050402207,0.013434791324239,0.00190678335831764,0.00188265648378699,0.0177805115380411,0.0215157291520547,0.0113904657413182,0.00181881714768436,0.00181701621283433,0.00208325394655294,0.00182172898086583,0.00925156106812116,0.0531171287658328,0.00181303011064733
"Podarcis_tauricus",0.00170434104075672,0.00170604752539836,0.0235520393891124,0.192042185096302,0.00170434104075672,0.00170434104075672,0.0538788952231913,0.00170605336952384,0.00630465558248947,0.00233204624867515,0.00170434104075672,0.00682130171483676,0.00170434104075672,0.00170601608263276,0.00170434104075672,0.0423947053505853,0.00546959323214629,0.00170434104075672,0.077309012970844,0.00209806317171093,0.00481387248337833,0.0346939623966603,0.45986409010524,0.00906128585461096,0.00341201025060545,0.00174028337921426,0.00999715762999623,0.00173344747138409,0.0415894588918508,0.00213908825355425,0.00170434104075672
