"sim","nvar","aic","logL","type","npar","nshifts","shiftnodes.1","shiftnodes.2","shiftnodes.3","shiftnodes.4","shiftnodes.5","shiftnodes.6","shiftnodes.7","shiftnodes.8","shiftnodes.9","shiftnodes.10","span.1","span.2","span.3","span.4","span.5","span.6","span.7","span.8","span.9","span.10","span.11","span.12","span.13","span.14","span.15","span.16","span.17","span.18","span.19","span.20"
"37",4,10,803.223072603276,6583.27394527948,"shift",68,3,273,350,432,NA,NA,NA,NA,NA,NA,NA,"Sonora_semiannulata","Acutotyphlops_kunuaensis","Chilabothrus_striatus","Liasis_mackloti","Trioceros_hoehnelii","Chamaeleo_calyptratus","","","","","","","","","","","","","",""
"38",4,10,769.575422873075,6601.09777014458,"shift",69,4,273,350,432,413,NA,NA,NA,NA,NA,NA,"Sonora_semiannulata","Acutotyphlops_kunuaensis","Chilabothrus_striatus","Liasis_mackloti","Trioceros_hoehnelii","Chamaeleo_calyptratus","Crotaphytus_collaris","Basiliscus_basiliscus","","","","","","","","","","","",""
"39",4,10,736.364941626076,6618.70301076808,"shift",70,5,273,350,432,413,530,NA,NA,NA,NA,NA,"Sonora_semiannulata","Acutotyphlops_kunuaensis","Chilabothrus_striatus","Liasis_mackloti","Trioceros_hoehnelii","Chamaeleo_calyptratus","Crotaphytus_collaris","Basiliscus_basiliscus","Delma_borea","Saltuarius_cornutus","","","","","","","","","",""
"40",4,10,622.869426165906,6735.45076849817,"censored",130,1,472,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Procellosaurinus_tetradactylus","Bachia_bicolor","","","","","","","","","","","","","","","","","",""
"41",4,10,298.714927958083,6962.52801760208,"censored",195,2,273,472,NA,NA,NA,NA,NA,NA,NA,NA,"Sonora_semiannulata","Acutotyphlops_kunuaensis","Procellosaurinus_tetradactylus","Bachia_bicolor","","","","","","","","","","","","","","","",""
"42",4,10,84.6390971428846,7134.56593300968,"censored",260,3,273,472,326,NA,NA,NA,NA,NA,NA,NA,"Sonora_semiannulata","Acutotyphlops_kunuaensis","Procellosaurinus_tetradactylus","Bachia_bicolor","Psammophis_sibilans","Boaedon_fuliginosus","","","","","","","","","","","","","",""
"43",4,10,25.2295747598255,7229.27069420121,"censored",325,4,273,487,472,326,NA,NA,NA,NA,NA,NA,"Sonora_semiannulata","Acutotyphlops_kunuaensis","Phoboscincus_bocourti","Brachymeles_gracilis","Procellosaurinus_tetradactylus","Bachia_bicolor","Psammophis_sibilans","Boaedon_fuliginosus","","","","","","","","","","","",""
"44",4,10,0,7306.88548158112,"censored",390,5,485,273,487,472,326,NA,NA,NA,NA,NA,"Phoboscincus_bocourti","Acontias_aurantiacus","Sonora_semiannulata","Acutotyphlops_kunuaensis","Phoboscincus_bocourti","Brachymeles_gracilis","Procellosaurinus_tetradactylus","Bachia_bicolor","Psammophis_sibilans","Boaedon_fuliginosus","","","","","","","","","",""
"45",5,10,1144.27149265437,6576.49748160082,"base",65,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","",""
"46",5,10,842.40551962246,6728.43046811678,"shift",66,1,279,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sonora_semiannulata","Pareas_margaritophorus","","","","","","","","","","","","","","","","","",""
"47",5,10,708.447949616089,6796.40925311996,"shift",67,2,279,432,NA,NA,NA,NA,NA,NA,NA,NA,"Sonora_semiannulata","Pareas_margaritophorus","Trioceros_hoehnelii","Chamaeleo_calyptratus","","","","","","","","","","","","","","","",""
"48",5,10,621.627590502041,6840.81943267699,"shift",68,3,279,432,380,NA,NA,NA,NA,NA,NA,NA,"Sonora_semiannulata","Pareas_margaritophorus","Trioceros_hoehnelii","Chamaeleo_calyptratus","Acutotyphlops_kunuaensis","Epictia_goudotii","","","","","","","","","","","","","",""
"49",5,10,569.713712173654,6867.77637184118,"shift",69,4,279,432,380,370,NA,NA,NA,NA,NA,NA,"Sonora_semiannulata","Pareas_margaritophorus","Trioceros_hoehnelii","Chamaeleo_calyptratus","Acutotyphlops_kunuaensis","Epictia_goudotii","Uropeltis_arcticeps","Rhinophis_blythii","","","","","","","","","","","",""
"50",5,10,541.508991100322,6882.87873237785,"shift",70,5,279,432,380,370,513,NA,NA,NA,NA,NA,"Sonora_semiannulata","Pareas_margaritophorus","Trioceros_hoehnelii","Chamaeleo_calyptratus","Acutotyphlops_kunuaensis","Epictia_goudotii","Uropeltis_arcticeps","Rhinophis_blythii","Lepidophyma_smithii","Cricosaura_typica","","","","","","","","","",""
"51",5,10,585.231783423234,6921.01733621639,"censored",130,1,273,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sonora_semiannulata","Acutotyphlops_kunuaensis","","","","","","","","","","","","","","","","","",""
"52",5,10,335.817455147662,7110.72450035418,"censored",195,2,273,488,NA,NA,NA,NA,NA,NA,NA,NA,"Sonora_semiannulata","Acutotyphlops_kunuaensis","Phoboscincus_bocourti","Eulamprus_quoyii","","","","","","","","","","","","","","","",""
"53",5,10,111.522428710794,7287.87201357261,"censored",260,3,273,488,326,NA,NA,NA,NA,NA,NA,NA,"Sonora_semiannulata","Acutotyphlops_kunuaensis","Phoboscincus_bocourti","Eulamprus_quoyii","Psammophis_sibilans","Boaedon_fuliginosus","","","","","","","","","","","","","",""
"54",5,10,44.2379860149213,7386.51423492055,"censored",325,4,392,273,488,326,NA,NA,NA,NA,NA,NA,"Liolaemus_bellii","Bronchocela_jubata","Sonora_semiannulata","Acutotyphlops_kunuaensis","Phoboscincus_bocourti","Eulamprus_quoyii","Psammophis_sibilans","Boaedon_fuliginosus","","","","","","","","","","","",""
"55",5,10,0,7473.63322792801,"censored",390,5,392,273,488,422,326,NA,NA,NA,NA,NA,"Liolaemus_bellii","Bronchocela_jubata","Sonora_semiannulata","Acutotyphlops_kunuaensis","Phoboscincus_bocourti","Eulamprus_quoyii","Bronchocela_jubata","Leiolepis_belliana","Psammophis_sibilans","Boaedon_fuliginosus","","","","","","","","","",""
"56",6,10,2816.75622856957,6401.95306394217,"base",65,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","",""
"57",6,10,2233.85409412489,6694.40413116451,"shift",66,1,273,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sonora_semiannulata","Acutotyphlops_kunuaensis","","","","","","","","","","","","","","","","","",""
"58",6,10,2137.5868240089,6743.53776622251,"shift",67,2,273,335,NA,NA,NA,NA,NA,NA,NA,NA,"Sonora_semiannulata","Acutotyphlops_kunuaensis","Bothrops_asper","Vipera_latastei","","","","","","","","","","","","","","","",""
"59",6,10,2068.68372131703,6778.98931756844,"shift",68,3,273,335,530,NA,NA,NA,NA,NA,NA,NA,"Sonora_semiannulata","Acutotyphlops_kunuaensis","Bothrops_asper","Vipera_latastei","Delma_borea","Saltuarius_cornutus","","","","","","","","","","","","","",""
"60",6,10,2003.61332468071,6812.5245158866,"shift",69,4,273,335,530,435,NA,NA,NA,NA,NA,NA,"Sonora_semiannulata","Acutotyphlops_kunuaensis","Bothrops_asper","Vipera_latastei","Delma_borea","Saltuarius_cornutus","Gerrhonotus_infernalis","Varanus_salvator","","","","","","","","","","","",""
"61",6,10,1943.67306836411,6843.4946440449,"shift",70,5,273,335,530,435,428,NA,NA,NA,NA,NA,"Sonora_semiannulata","Acutotyphlops_kunuaensis","Bothrops_asper","Vipera_latastei","Delma_borea","Saltuarius_cornutus","Gerrhonotus_infernalis","Varanus_salvator","Pogona_vitticeps","Physignathus_cocincinus","","","","","","","","","",""
"62",6,10,2037.13185139869,6856.76525252761,"censored",130,1,273,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sonora_semiannulata","Acutotyphlops_kunuaensis","","","","","","","","","","","","","","","","","",""
