treename,ProcCoord1,ProcCoord2,ProcCoord3,ProcCoord4,ProcCoord5,ProcCoord6,ProcCoord7,ProcCoord8,ProcCoord9,ProcCoord10,ProcCoord11,ProcCoord12,ProcCoord13,ProcCoord14,ProcCoord15,ProcCoord16,ProcCoord17,ProcCoord18,ProcCoord19,ProcCoord20,ProcCoord21,ProcCoord22,ProcCoord23,ProcCoord24,ProcCoord25,ProcCoord26,ProcCoord27,ProcCoord28,ProcCoord29,ProcCoord30,ProcCoord31,ProcCoord32,ProcCoord33,ProcCoord34,ProcCoord35,ProcCoord36,ProcCoord37,ProcCoord38,ProcCoord39,ProcCoord40
Anolis_carolinensis,0.019917754,0.083477606,0.09186249,0.036261621,0.152682393,0.034318836,0.21291576,0.034088957,0.208308732,-0.005844353,0.189828755,-0.046564993,0.198717139,-0.069928704,0.175924597,-0.076026217,0.179326635,0.002251923,-0.023815008,-0.069282905,-0.054194889,0.009639242,0.078842123,0.098054482,0.223552119,-0.028894022,-0.353135051,-0.054346164,-0.361179509,-0.051447972,-0.395452473,-0.04551517,-0.2881929,0.000346038,-0.31600698,0.004457186,-0.12754545,0.066840166,0.187643763,0.078114444
Dibamus_novaeguineae,-0.058092251,0.090891457,0.039918096,-0.011644315,0.132509,0.070150372,0.246912778,0.059742539,0.243681185,-0.043088476,0.202233071,-0.05584418,0.134831256,-0.099961032,0.117945509,-0.077842008,0.190680485,0.030150693,-0.151103474,-0.033040098,-0.121727697,0.010045714,0.107042499,0.11132035,0.335886133,-0.013043441,-0.3078324,-0.056032263,-0.311794955,-0.056092418,-0.321530475,-0.056020175,-0.305695305,0.006008853,-0.31913164,0.006869921,-0.109329795,0.027495905,0.254597981,0.089932602
Rhacodactylus_auriculatus,0.037040526,0.119398902,0.097240073,0.057765522,0.137536983,0.076018554,0.212929969,0.068859032,0.221117286,-0.022894032,0.169188707,-0.062359386,0.172012198,-0.104132373,0.132081624,-0.114541417,0.159854377,0.006615522,-0.045308115,-0.05400654,-0.050306761,0.027981603,0.168611194,0.119905105,0.212173006,-0.033482112,-0.345949263,-0.058908326,-0.342248061,-0.071615618,-0.362370315,-0.070293902,-0.306254869,-0.014905667,-0.339438024,-0.024832501,-0.141375856,0.073878614,0.213465322,0.081549018
Strophurus_ciliaris,0.047297996,0.087504808,0.114357403,0.065203636,0.139936915,0.085796005,0.251106441,0.036499595,0.217989221,0.006512081,0.174652747,-0.069157017,0.16280444,-0.121293741,0.129782057,-0.121274726,0.185409848,0.018774,-0.058048136,-0.0662251,-0.049822026,0.011218718,0.058475384,0.107089887,0.260192082,-0.024434592,-0.343752791,-0.060033767,-0.347217695,-0.058547565,-0.368377219,-0.052276881,-0.294480344,-0.007239989,-0.312096556,-0.003182179,-0.142926006,0.064041486,0.174716239,0.101025341
Celestus_enneagrammus,-0.013071597,0.092240146,0.081087734,0.058049463,0.111616331,0.08643085,0.241267412,0.029899359,0.254065795,-0.026272166,0.202783582,-0.049524271,0.199912112,-0.103903276,0.165668057,-0.105478865,0.167756165,0.003085346,-0.084251214,-0.071161471,-0.092189391,0.021799599,0.098196831,0.109290781,0.283083514,-0.054266278,-0.322851501,-0.04470726,-0.314518951,-0.053705278,-0.348964,-0.04990907,-0.276610253,0.011731201,-0.320676978,-0.013093845,-0.157272231,0.064842867,0.124968582,0.094652169
Diploglossus_lessonae,0.020555787,0.062622093,0.081583632,0.038633752,0.130302809,0.05888516,0.25356054,0.034423101,0.262937622,-0.013923975,0.204986617,-0.025570779,0.189175209,-0.077836085,0.155428534,-0.067771118,0.190463972,0.028375592,-0.108440622,-0.059740015,-0.100154278,0.001354141,0.078911127,0.075829633,0.259383725,-0.04993065,-0.338309632,-0.045780502,-0.343979986,-0.041966248,-0.364501493,-0.04392564,-0.279216471,0.005468602,-0.312646471,0.001690498,-0.129912262,0.048396171,0.149871643,0.07076627
Acanthophis_antarcticus,-0.072627163,0.076321671,0.027487666,-0.023473492,0.080680983,0.011396951,0.143242243,0.045498867,0.254389818,0.02509006,0.243912795,0.018275788,0.377377216,-0.143315603,0.334096742,-0.141331846,0.156025628,0.020395151,-0.088915984,-0.024252905,-0.131767456,0.027934991,0.03232913,0.066450205,0.184925874,-0.055797236,-0.264536443,-0.072431772,-0.336625462,-0.028565105,-0.343839225,-0.010803923,-0.263535135,0.04695399,-0.295023933,0.03350185,-0.178342864,0.077681607,0.140745569,0.050470751
Aspidelaps_scutatus,-0.060119639,0.123693449,0.00255761,-0.004227763,0.05668618,0.063204038,0.146030969,0.086829105,0.292142041,-0.035473839,0.286110651,-0.069036775,0.301683378,-0.206081158,0.247868933,-0.20900326,0.158618267,0.054976958,-0.107469874,-0.069896446,-0.090090015,0.05118123,-0.004689912,0.153968014,0.212969794,-0.060305113,-0.22864531,-0.100700221,-0.285238259,-0.041561524,-0.327378531,-0.052211031,-0.246231789,0.057061619,-0.335952315,0.010352681,-0.144597937,0.111858083,0.125745759,0.135371953
Dendroaspis_polylepis,-0.040500004,0.061566688,0.044477938,-0.043999139,0.089510875,0.013823984,0.147628676,0.040097973,0.213377661,0.030161744,0.225182909,0.005605012,0.339611715,-0.087025776,0.325535185,-0.106269267,0.155498769,-0.008728722,-0.061673402,-0.106775196,-0.061514712,-0.000697395,0.019607011,0.085853077,0.21587731,-0.032320903,-0.271402483,-0.025788362,-0.34901275,-0.021820317,-0.380708757,-0.006618496,-0.275807985,0.048225704,-0.336396492,0.048985151,-0.149219172,0.043978795,0.149927707,0.061745445
Hydrophis_gracilis,-0.107783783,0.065359481,0.007573477,-0.050381396,0.086810418,0.03522619,0.154544548,0.06793158,0.28286461,0.01489713,0.267159001,-0.033669958,0.312533399,-0.086763829,0.283435788,-0.090252842,0.170165916,-0.003827362,-0.082680919,-0.075650912,-0.139917786,0.006368066,0.050049609,0.079732316,0.223773842,-0.06778666,-0.296763936,-0.035438795,-0.326737914,-0.024265462,-0.33543816,-0.023815626,-0.241172511,0.050157498,-0.295998024,0.033659375,-0.167332002,0.066946655,0.154914427,0.071574551
