family,genus,species,sample,institution,voucher,type,inTopoConstraint,num_total,avg_length,SRR
Phrynosomatidae,Phrynosoma,Phrynosoma_coronatum,phrynosoma_coronatum_uabc1007,NA,NA,10.1643/CH-15-248,TRUE,7,444,NA
Phrynosomatidae,Phrynosoma,Phrynosoma_ditmarsi,phrynosoma_ditmarsi,NA,NA,10.1643/CH-15-248,TRUE,7,540,NA
Phrynosomatidae,Phrynosoma,Phrynosoma_douglasii,phrynosoma_douglasi,NA,NA,10.1643/CH-15-248,TRUE,8,550,NA
Phrynosomatidae,Phrynosoma,Phrynosoma_goodei,phrynosoma_goodei,NA,NA,10.1643/CH-15-248,TRUE,9,579,NA
Phrynosomatidae,Phrynosoma,Phrynosoma_hernandesi,phrynosoma_hernandesi,NA,NA,10.1643/CH-15-248,TRUE,6,589,NA
Phrynosomatidae,Phrynosoma,Phrynosoma_modestum,phrynosoma_modestum,NA,NA,10.1643/CH-15-248,TRUE,6,522,NA
Phrynosomatidae,Phrynosoma,Phrynosoma_orbiculare,phrynosoma_obiculare,NA,NA,10.1643/CH-15-248,TRUE,5,517,NA
Phrynosomatidae,Phrynosoma,Phrynosoma_taurus,phrynosoma_taurus,NA,NA,10.1643/CH-15-248,TRUE,4,531,NA
Phrynosomatidae,Sceloporus,Sceloporus_bicanthalis,sceloporus_bicanthalis,NA,NA,10.1643/CH-15-248,TRUE,11,533,NA
Scincidae,Harrisoniascincus,Harrisoniascincus_zia,ABTC100626,ABTC,NA,newly collected,TRUE,5156,742,SAMN32602812
Gekkonidae,Nactus,Nactus_kunan,ABTC136604,ABTC,NA,newly collected,TRUE,5117,975,SAMN32602727
Agamidae,Hypsilurus,Hypsilurus_schoedei,ABTC136665,ABTC,NA,newly collected,TRUE,5224,881,SAMN32602512
Gekkonidae,Nactus,Nactus_pelagicus,ABTC136842,ABTC,NA,newly collected,TRUE,4863,718,SAMN32602728
Agamidae,Intellagama,Intellagama_lesueurii,ABTC32057,QM,QMJ81980,newly collected,TRUE,5270,916,SAMN32602513
Elapidae,Denisonia,Denisonia_devisi,ABTC32067,QM,QMJ67394,newly collected,TRUE,5045,848,SAMN32602675
Gekkonidae,Lepidodactylus,Lepidodactylus_manni,ABTC32753,ABTC,NA,newly collected,TRUE,5107,948,SAMN32602725
Diplodactylidae,Nebulifera,Nebulifera_robusta,ABTC3938,ABTC,NA,newly collected,TRUE,5069,902,SAMN32602657
Gekkonidae,Lepidodactylus,Lepidodactylus_magnus,ABTC50585,ABTC,NA,newly collected,TRUE,5159,794,SAMN32602724
Carphodactylidae,Phyllurus,Phyllurus_platurus,ABTC51012,SAM,SAMAR34658,newly collected,TRUE,5256,872,SAMN32602549
Elapidae,Hemiaspis,Hemiaspis_damelii,ABTC6511,ABTC,NA,newly collected,TRUE,4939,771,SAMN32602679
Gekkonidae,Gehyra,Gehyra_Cysp,ABTC79193,ABTC,NA,newly collected,TRUE,5168,758,SAMN32602709
Agamidae,Chelosania,Chelosania_brunnea,ABTC80828,ABTC,NA,newly collected,TRUE,3168,395,SAMN32602504
Agamidae,Hypsilurus,Hypsilurus_auritus,ABTC90139,ABTC,NA,newly collected,TRUE,5207,937,SAMN32602510
Teiidae,Aspidoscelis,Aspidoscelis_opatae,AMNH_R148254,AMNH,AMNH_R148254,newly collected,TRUE,5218,978,SAMN09221107
Teiidae,Aspidoscelis,Aspidoscelis_tesselatus,AMNH_R148360,AMNH,AMNH_R148360,newly collected,TRUE,4907,579,SAMN09221108
Scincidae,Sphenomorphus,Sphenomorphus_cryptotis,AMNH_R153698,AMNH,AMNH_R153698,newly collected,TRUE,5163,1149,SAMN09221109
Scincidae,Anomalopus,Anomalopus_gowi,AMSR_115249_An_gowi,AMS,AMSR_115249,newly collected,TRUE,5308,829,SAMN32602770
Scincidae,Glaphyromorphus,Glaphyromorphus_pumilus,AMSR_94572_Gl_pumi,AMS,AMSR_94572,newly collected,TRUE,5247,779,SAMN32602809
Scincidae,Anomalopus,Anomalopus_swansoni,AMSR_98693_An_swan,AMS,AMSR_98693,newly collected,TRUE,5183,975,SAMN32602772
Scincidae,Carlia,Carlia_rubrigularis,AMSR111510,AMS,AMSR111510,newly collected,TRUE,4584,645.1173647,SAMN36389995
Gekkonidae,Gehyra,Gehyra_baliola,AMSR122403,AMS,AMSR122403,newly collected,TRUE,4948,813,SAMN32602708
Agamidae,Hypsilurus,Hypsilurus_modestus,AMSR122434,AMS,AMSR122434,newly collected,TRUE,4989,687,SAMN32602511
Agamidae,Lophosaurus,Lophosaurus_dilophus,AMSR122449,AMS,AMSR122449,newly collected,TRUE,5175,719,SAMN32602516
Agamidae,Hypsilurus,Hypsilurus_magnus,AMSR122474,AMS,AMSR122474,newly collected,TRUE,5261,969,SAMN15718177
Varanidae,Varanus,Varanus_prasinus,AMSR124774,AMS,AMSR124774,newly collected,TRUE,1845,316,SAMN32602892
Elapidae,Laticauda,Laticauda_colubrina,AMSR124795,AMS,AMSR124795,newly collected,TRUE,4981,995,SAMN32602684
Agamidae,Lophosaurus,Lophosaurus_spinipes,AMSR130058,AMS,AMSR130058,newly collected,TRUE,4898,667,SAMN32602517
Scincidae,Egernia,Egernia_saxatilis,AMSR93467,AMS,AMSR93467,newly collected,TRUE,4968,577,SAMN32602798
Gekkonidae,Gehyra,Gehyra_membranacruralis,BPBM34745,BPBM,BPBM34745,newly collected,TRUE,5138,775,SAMN32602711
Colubridae,Oxyrhopus,Oxyrhopus_occipitalis,BPN3573,USNM,USNM588870,newly collected,TRUE,4953,870,SAMN09221209
Colubridae,Philothamnus,Philothamnus_macrops,CAS_168833,CAS,CAS_168833,newly collected,TRUE,4970,723,SAMN09221110
Colubridae,Philothamnus,Philothamnus_battersbyi,CAS_168967,CAS,CAS_168967,newly collected,TRUE,5072,909,SAMN09221111
Colubridae,Dipsadoboa,Dipsadoboa_duchesnii,CAS_197901,CAS,CAS_197901,newly collected,TRUE,1343,363,SAMN09221112
Colubridae,Boiga,Boiga_ochracea,CAS_205002,CAS,CAS_205002,newly collected,TRUE,4908,769,SAMN09221114
Scincidae,Lygosoma,Lygosoma_anguinum,CAS_206645,CAS,CAS_206645,newly collected,TRUE,5193,971,SAMN09221115
Varanidae,Varanus,Varanus_niloticus,CAS_207622,CAS,CAS_207622,newly collected,TRUE,5205,960,SAMN09221116
Colubridae,Dendrelaphis,Dendrelaphis_walli,CAS_208429,CAS,CAS_208429,newly collected,TRUE,5005,1031,SAMN09221117
Gekkonidae,Hemidactylus,Hemidactylus_aquilonius,CAS_208455,CAS,CAS_208455,newly collected,TRUE,5240,841,SAMN09221119
Colubridae,Boiga,Boiga_cyanea,CAS_210222,CAS,CAS_210222,newly collected,TRUE,5079,1018,SAMN09221120
